NAME  |  POSITION  |  VELOCITY  |  RADIUS  |  MASS
Sun|[0.0,0.0,0.0]|[0.0,0.0,0.0]|696342016.0|1.9884754913722736e+30
Earth|[-95168614217.5417,-28151181630.389908,-114081381743.71165]|[-1639145.4172771422,10429.538810275073,1365315.9925783656]|6371000.0|5.972365131085893e+24
Mercury|[-46187800533.49731,-24155306223.951973,-33948380033.586884]|[-466916.76352654427,15469.731104504248,639907.7664947863]|2439700.0|3.301096012882091e+23
Io|[-98401844775.81055,16869522039.350624,-734053943475.2733]|[-10654198.531981835,8000.050676516452,1443895.9313659633]|1811300.0|8.929943606013153e+22
Venus|[-73028516090.03752,-29470199484.79843,-75245490334.33972]|[-1072876.8626146154,10896.210425682144,1037088.2372944718]|6049000.0|4.867466265910435e+24
Jupiter|[-98704171512.30307,16699596103.809258,-733814452246.3524]|[-10660380.37428166,5399.076062452876,1434121.8602838893]|70941832.0|1.8981872313371659e+27
Titan|[207571625262.26257,4526527044.309032,1410638706336.736]|[20508199.858274285,-4254.172477769711,-3022865.5983944093]|2573300.0|1.345224848407597e+23
Phobos|[219478692364.915,97024753524.4664,25177890169.841232]|[365741.1085332283,-1395.6350269687337,-3167525.3708508746]|7250.0|1.061951065030656e+16
Vesta|[343306278791.4775,144888606080.10068,57567336822.68489]|[833546.3293129341,-1009.8552678253691,-4975490.196273384]|262700.0|2.590356332376081e+20
Moon|[-94868270600.0535,-27964174824.209785,-114274838322.212]|[-1641468.0775536378,10547.66645189373,1361775.0427191576]|1737100.0|7.3460312199466515e+22
Mars|[219470889062.33072,97019357226.69691,25177180080.91687]|[366239.4974898908,-1882.1895738481944,-3169397.004814796]|3375800.0|6.417120021813109e+23
Deimos|[219490605345.85342,97028429190.06483,25168272000.606903]|[366335.0296907817,-1229.9708177426146,-3168522.1199874077]|5456.0|1440733357670400.0
Ceres|[-209235055223.5515,-136777922516.10458,-369549287901.28314]|[-5362178.760425766,5611.046933112963,3034160.179767908]|473000.0|9.384439759090473e+20
Europa|[-98092024246.78104,16976749439.605137,-733743789516.4807]|[-10659926.95081115,3423.697723902552,1438707.5834914003]|1550800.0|4.798771851987837e+22
Ganymede|[-98336842507.51025,16990398923.99017,-734776815621.6293]|[-10665190.84571662,8979.513270372176,1433382.6213109419]|2624100.0|1.4815277322818458e+23
Callisto|[-99393984333.61526,16602179923.477024,-735550807951.3379]|[-10678774.834499478,8919.018801360367,1441199.8833499777]|2409300.0|1.0756972009324145e+23
Saturn|[208760454252.02106,4471349444.478661,1410630961182.8003]|[20508077.79685968,-3688.9775336125203,-3034471.5574595276]|59216476.0|5.68336105237087e+26
Mimas|[208672389292.89948,4486852206.416752,1410789176335.958]|[20497674.871192846,-3786.447766078287,-3040361.061878263]|198200.0|3.751114979943855e+19
Enceladus|[208620370771.4843,4497822830.583881,1410822260587.04]|[20500677.06625967,-3918.9056246097334,-3039823.665237537]|252100.0|1.080516552855472e+20
Tethys|[208759082347.07336,4495525031.262642,1410924536224.4995]|[20501010.50703141,-3124.482410673925,-3034560.9067141856]|531100.0|6.17479537709514e+20
Dione|[208560228082.11737,4449207749.083729,1410312735690.771]|[20511928.271626934,-4658.96453025174,-3036851.5274244505]|561400.0|1.0955272791119165e+21
Rhea|[208746223804.78668,4421590305.29351,1410106523577.6265]|[20508922.027479224,-4165.01392758556,-3034457.8946211883]|763800.0|2.3065720294033746e+21
Iapetus|[207649364966.72095,3757386271.1500626,1407432246443.955]|[20464669.203732632,-3220.9083121504027,-3019471.6026706616]|734500.0|1.805673375335415e+21
Uranus|[2586673177632.8984,1116330230759.9275,-86172634029.2959]|[-1253174.1081603402,-566.1765162430056,-37614732.92399667]|24893874.0|8.681272957074655e+25
Miranda|[2586680277827.7783,1116443836059.205,-86110320132.85938]|[-1255444.8617444483,2419.996962719689,-37619903.15778206]|235700.0|6.472078604224378e+19
Ariel|[2586622172780.0493,1116513890975.4126,-86163260961.12671]|[-1255401.1659431115,-979.8756480892353,-37618952.92364454]|578900.0|1.2505610926406112e+21
Umbriel|[2586772359161.9463,1116398242612.8743,-85934254655.4419]|[-1251297.918901785,3765.749771509574,-37616744.15503255]|584700.0|1.2749829875199346e+21
Titania|[2586715029298.8774,1116660820471.0635,-85890606428.03955]|[-1250884.082503358,1612.036503262796,-37617638.533274546]|788900.0|3.4003742187517756e+21
Oberon|[2586659690832.3745,1116841589147.1138,-85890787399.77563]|[-1250658.6878334754,717.2770943073974,-37616933.683306724]|761400.0|3.0764305790299925e+21
Neptune|[-380681452377.23047,-487417261789.0129,4490525196695.496]|[65307065.516416445,-1961.2990101227733,5536170.745916377]|24223904.0|1.0241260607830458e+26
Triton|[-380737781392.39294,-487494028319.3796,4490866938073.418]|[65313576.57432998,1987.8669189421398,5538131.057954698]|1353400.0|2.1390186451968037e+22
Pluto|[3690953801551.3223,2100194097188.0073,3288984568517.6426]|[47832299.16913374,-846.9848331819903,-53679644.089590766]|1187000.0|1.3029718740416237e+22
Charon|[3690949939007.664,2100175071448.1118,3288987236031.1445]|[47832236.54537709,-799.3554992325644,-53679394.97443436]|603500.0|1.5864357529377172e+21
